"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","19-217","SAC","","UTA","L (-6)","0","12:07","3","6",".500","0","0","","0","0","","1","4","5","0","0","0","0","2","6","4.1","-14"
"2","2","2018-10-19","19-219","SAC","@","NOP","L (-20)","0","32:38","7","10",".700","0","3",".000","5","6",".833","2","6","8","3","3","1","1","5","19","20.4","-21"
"3","3","2018-10-21","19-221","SAC","@","OKC","W (+11)","0","23:44","5","13",".385","0","0","","3","6",".500","5","2","7","0","1","0","4","3","13","4.6","+6"
"4","4","2018-10-23","19-223","SAC","@","DEN","L (-14)","0","32:20","9","11",".818","1","1","1.000","1","3",".333","1","8","9","3","0","5","4","2","20","19.0","-1"
"5","5","2018-10-24","19-224","SAC","","MEM","W (+5)","0","22:20","4","8",".500","0","0","","5","8",".625","3","3","6","1","0","0","1","2","13","9.7","-8"
"6","6","2018-10-26","19-226","SAC","","WAS","W (+4)","0","22:56","5","11",".455","1","1","1.000","0","2",".000","4","4","8","0","1","1","5","2","11","4.4","-17"
"7","7","2018-10-29","19-229","SAC","@","MIA","W (+10)","0","16:57","3","7",".429","1","1","1.000","0","0","","2","3","5","1","0","2","2","2","7","4.9","-5"
"8","8","2018-10-30","19-230","SAC","@","ORL","W (+8)","0","22:43","3","7",".429","2","3",".667","2","4",".500","5","4","9","2","1","1","3","1","10","9.9","-2"
"9","9","2018-11-01","19-232","SAC","@","ATL","W (+31)","0","24:07","7","10",".700","0","0","","4","4","1.000","4","1","5","0","1","0","1","2","18","16.1","+20"
"10","10","2018-11-04","19-235","SAC","@","MIL","L (-35)","0","20:18","3","10",".300","1","3",".333","4","9",".444","1","5","6","1","0","1","1","3","11","4.6","-7"
"11","11","2018-11-07","19-238","SAC","","TOR","L (-9)","0","25:23","5","8",".625","1","1","1.000","2","2","1.000","1","2","3","0","0","1","2","2","13","8.6","-8"
"12","12","2018-11-09","19-240","SAC","","MIN","W (+11)","0","16:18","2","7",".286","0","1",".000","2","2","1.000","1","1","2","0","0","2","1","0","6","3.3","+8"
"13","13","2018-11-10","19-241","SAC","","LAL","L (-15)","0","21:52","5","12",".417","0","0","","3","6",".500","2","1","3","0","0","2","3","0","13","5.5","-9"
"14","14","2018-11-12","19-243","SAC","","SAS","W (+5)","0","21:16","3","9",".333","0","2",".000","1","1","1.000","2","4","6","0","0","1","3","2","7","1.4","+2"
"15","15","2018-11-16","19-247","SAC","@","MEM","L (-8)","0","20:12","1","3",".333","0","1",".000","5","6",".833","1","0","1","1","0","0","2","1","7","3.9","0"
"16","16","2018-11-17","19-248","SAC","@","HOU","L (-20)","0","27:17","7","10",".700","0","1",".000","2","3",".667","3","5","8","1","0","1","2","1","16","14.0","-15"
"17","17","2018-11-19","19-250","SAC","","OKC","W (+4)","0","25:50","6","11",".545","0","1",".000","3","6",".500","6","7","13","2","0","3","2","2","15","15.5","-5"
"18","18","2018-11-21","19-252","SAC","@","UTA","W (+9)","0","27:04","5","9",".556","0","0","","1","2",".500","0","6","6","0","2","2","1","3","11","9.3","+11"
"19","19","2018-11-24","19-255","SAC","@","GSW","L (-1)","0","33:47","7","15",".467","0","0","","6","8",".750","7","10","17","2","0","0","0","1","20","20.4","+5"
"20","20","2018-11-25","19-256","SAC","","UTA","L (-21)","0","30:11","6","12",".500","0","3",".000","6","8",".750","1","5","6","0","0","2","1","3","18","12.6","-28"
"21","21","2018-11-29","19-260","SAC","","LAC","L (-12)","0","27:22","8","15",".533","0","1",".000","2","2","1.000","5","5","10","2","1","0","0","2","18","17.3","-8"
"24","22","2018-12-07","19-268","SAC","@","CLE","W (+19)","0","25:03","8","9",".889","1","1","1.000","0","0","","1","0","1","1","1","1","2","1","17","14.6","-6"
"25","23","2018-12-08","19-269","SAC","@","IND","L (-10)","0","9:43","2","4",".500","0","0","","0","0","","1","1","2","1","0","1","2","6","4","0.0","-1"
"26","24","2018-12-10","19-271","SAC","@","CHI","W (+19)","0","26:30","5","9",".556","1","1","1.000","5","6",".833","1","1","2","0","0","0","0","2","16","11.5","+18"
"27","25","2018-12-12","19-273","SAC","","MIN","W (+11)","0","26:29","4","5",".800","0","1",".000","9","10",".900","3","7","10","3","0","0","0","1","17","20.6","+10"
"28","26","2018-12-14","19-275","SAC","","GSW","L (-5)","0","5:20","2","2","1.000","0","0","","0","0","","0","1","1","0","0","0","0","0","4","3.7","+3"
"40","27","2019-01-07","19-299","SAC","","ORL","W (+16)","0","20:18","2","7",".286","0","2",".000","4","6",".667","1","5","6","1","0","1","0","2","8","5.9","+10"
"42","28","2019-01-10","19-302","SAC","","DET","W (+10)","0","20:14","4","5",".800","0","0","","2","2","1.000","2","5","7","1","2","0","2","1","10","11.3","-4"
"43","29","2019-01-12","19-304","SAC","","CHO","W (+7)","0","25:14","5","13",".385","1","2",".500","0","3",".000","1","8","9","0","1","1","0","1","11","7.1","+13"
"44","30","2019-01-14","19-306","SAC","","POR","W (+8)","0","23:36","6","12",".500","0","1",".000","1","5",".200","2","9","11","1","0","0","1","6","13","6.8","0"
"45","31","2019-01-17","19-309","SAC","@","CHO","L (-19)","0","22:55","6","11",".545","1","2",".500","2","4",".500","4","4","8","1","0","0","3","2","15","9.8","-21"
